chat_id,role,message,keywords
50,Customer,Can you help me with ASUS MyASUS?,"['asus myasus', 'help asus', 'asus', 'myasus', 'help']"
51,Customer,How do I fix fan error?,"['fan error', 'fix fan', 'fan', 'error', 'fix']"
52,Customer,What is ASUS MyASUS?,"['asus myasus', 'myasus', 'asus']"
53,Customer,How do I fix overheating?,"['fix overheating', 'overheating', 'fix']"
54,Customer,My system is slowing down after connecting to Wi-Fi.,"['slowing connecting', 'connecting wi', 'wi fi', 'slowing', 'wi']"
55,Customer,My system is freezing after connecting to Wi-Fi.,"['freezing connecting', 'freezing', 'connecting wi', 'wi fi', 'wi']"
56,Customer,What is ASUS MyASUS?,"['asus myasus', 'myasus', 'asus']"
57,Customer,How do I fix blue screen?,"['blue screen', 'fix blue', 'screen', 'blue', 'fix']"
58,Customer,What is Lenovo Vantage?,"['lenovo vantage', 'lenovo', 'vantage']"
59,Customer,I'm getting a fan error on startup.,"['fan error', 'error startup', 'getting fan', 'fan', 'startup']"
60,Customer,I'm getting a no sound on shutdown.,"['sound shutdown', 'getting sound', 'shutdown', 'sound', 'getting']"
61,Customer,How do I fix fan error?,"['fan error', 'fix fan', 'fan', 'error', 'fix']"
62,Customer,How do I fix fan error?,"['fan error', 'fix fan', 'fan', 'error', 'fix']"
63,Customer,I'm getting a no sound on boot.,"['sound boot', 'getting sound', 'boot', 'sound', 'getting']"
64,Customer,Can you help me with ASUS MyASUS?,"['asus myasus', 'help asus', 'asus', 'myasus', 'help']"
65,Customer,What is Lenovo Vantage?,"['lenovo vantage', 'lenovo', 'vantage']"
66,Customer,What is HP Smart?,"['hp smart', 'hp', 'smart']"
67,Customer,What is ASUS MyASUS?,"['asus myasus', 'myasus', 'asus']"
68,Customer,I'm getting a fan error on startup.,"['fan error', 'error startup', 'getting fan', 'fan', 'startup']"
69,Customer,What is ASUS MyASUS?,"['asus myasus', 'myasus', 'asus']"
70,Customer,What is HP Smart?,"['hp smart', 'hp', 'smart']"
71,Customer,What is Dell SupportAssist?,"['dell supportassist', 'dell', 'supportassist']"
72,Customer,What is HP Smart?,"['hp smart', 'hp', 'smart']"
73,Customer,What is HP Smart?,"['hp smart', 'hp', 'smart']"
74,Customer,Can you help me with Dell SupportAssist?,"['dell supportassist', 'help dell', 'dell', 'supportassist', 'help']"
75,Customer,My system is crashing after installing new drivers.,"['crashing', 'new drivers', 'crashing installing', 'drivers', 'installing new']"
76,Customer,How do I fix blue screen?,"['blue screen', 'fix blue', 'screen', 'blue', 'fix']"
77,Customer,My system is slowing down after a recent update.,"['slowing', 'slowing recent', 'recent update', 'update', 'recent']"
78,Customer,Can you help me with ASUS MyASUS?,"['asus myasus', 'help asus', 'asus', 'myasus', 'help']"
79,Customer,Can you help me with HP Smart?,"['hp smart', 'help hp', 'hp', 'smart', 'help']"
80,Customer,How do I fix no sound?,"['fix sound', 'sound', 'fix']"
81,Customer,My system is slowing down after installing new drivers.,"['new drivers', 'slowing installing', 'slowing', 'drivers', 'installing new']"
82,Customer,I'm getting a blue screen on startup.,"['blue screen', 'screen startup', 'startup', 'getting blue', 'blue']"
83,Customer,What is HP Smart?,"['hp smart', 'hp', 'smart']"
84,Customer,How do I fix overheating?,"['fix overheating', 'overheating', 'fix']"
85,Customer,I'm getting a blue screen on shutdown.,"['blue screen', 'screen shutdown', 'shutdown', 'getting blue', 'blue']"
86,Customer,My system is freezing after connecting to Wi-Fi.,"['freezing connecting', 'freezing', 'connecting wi', 'wi fi', 'wi']"
87,Customer,My system is slowing down after a recent update.,"['slowing', 'slowing recent', 'recent update', 'update', 'recent']"
88,Customer,How do I fix no sound?,"['fix sound', 'sound', 'fix']"
89,Customer,What is ASUS MyASUS?,"['asus myasus', 'myasus', 'asus']"
90,Customer,How do I fix overheating?,"['fix overheating', 'overheating', 'fix']"
91,Customer,Can you help me with Lenovo Vantage?,"['lenovo vantage', 'help lenovo', 'lenovo', 'vantage', 'help']"
92,Customer,Can you help me with HP Smart?,"['hp smart', 'help hp', 'hp', 'smart', 'help']"
93,Customer,I'm getting a overheating on shutdown.,"['overheating shutdown', 'getting overheating', 'overheating', 'shutdown', 'getting']"
94,Customer,What is HP Smart?,"['hp smart', 'hp', 'smart']"
95,Customer,My system is freezing after a recent update.,"['freezing', 'freezing recent', 'recent update', 'update', 'recent']"
96,Customer,Can you help me with Lenovo Vantage?,"['lenovo vantage', 'help lenovo', 'lenovo', 'vantage', 'help']"
97,Customer,How do I fix slow performance?,"['slow performance', 'fix slow', 'performance', 'slow', 'fix']"
98,Customer,My system is freezing after a recent update.,"['freezing', 'freezing recent', 'recent update', 'update', 'recent']"
99,Customer,My system is crashing after a recent update.,"['crashing', 'crashing recent', 'recent update', 'update', 'recent']"
100,Customer,What is Dell SupportAssist?,"['dell supportassist', 'dell', 'supportassist']"
